Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition,Season,League
2018-09-19,West Ham United LFC,Reading WFC,0,0,D,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-09,Brighton & Hove Albion WFC,Bristol City WFC,0,1,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-20,Everton LFC,Manchester City WFC,0,4,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-19,Yeovil Town LFC,Arsenal WFC,0,7,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-23,Reading WFC,Birmingham City WFC,0,1,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-30,West Ham United LFC,Yeovil Town LFC,2,1,H,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-09,Chelsea FCW,Manchester City WFC,0,0,D,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-23,Manchester City WFC,Bristol City WFC,2,2,D,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-23,Everton LFC,Chelsea FCW,0,0,D,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-23,Brighton & Hove Albion WFC,Liverpool WFC,0,1,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-10-14,Bristol City WFC,Birmingham City WFC,0,1,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-11-18,Everton LFC,Arsenal WFC,0,4,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-11-04,Yeovil Town LFC,Everton LFC,1,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2018-11-17,Bristol City WFC,Liverpool WFC,2,1,H,FA Women's Super League,2018/2019,FA Women's Super League
2018-11-18,Brighton & Hove Albion WFC,Reading WFC,1,4,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-11-18,Birmingham City WFC,West Ham United LFC,3,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2018-11-25,West Ham United LFC,Bristol City WFC,2,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2018-11-25,Reading WFC,Everton LFC,2,1,H,FA Women's Super League,2018/2019,FA Women's Super League
2018-12-09,Brighton & Hove Albion WFC,Chelsea FCW,0,4,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-10-14,Liverpool WFC,Yeovil Town LFC,2,1,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-27,Manchester City WFC,Brighton & Hove Albion WFC,3,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-28,Liverpool WFC,West Ham United LFC,1,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-27,Chelsea FCW,Birmingham City WFC,2,3,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-27,Reading WFC,Arsenal WFC,0,3,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-02-20,Reading WFC,West Ham United LFC,1,2,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-02-20,Arsenal WFC,Yeovil Town LFC,3,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-06,Liverpool WFC,Brighton & Hove Albion WFC,0,2,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-06,West Ham United LFC,Arsenal WFC,2,4,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-06,Bristol City WFC,Manchester City WFC,1,1,D,FA Women's Super League,2018/2019,FA Women's Super League
2019-02-20,Manchester City WFC,Everton LFC,3,1,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-06,Birmingham City WFC,Reading WFC,2,1,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-13,Brighton & Hove Albion WFC,Everton LFC,0,0,D,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-13,West Ham United LFC,Manchester City WFC,1,3,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-12-09,Everton LFC,Bristol City WFC,0,2,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-02-10,Manchester City WFC,Chelsea FCW,2,2,D,FA Women's Super League,2018/2019,FA Women's Super League
2019-03-31,Bristol City WFC,Reading WFC,0,1,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-03-31,Manchester City WFC,Liverpool WFC,2,1,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-01-13,Yeovil Town LFC,Liverpool WFC,1,2,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-03-31,Everton LFC,Yeovil Town LFC,0,1,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-03-31,Birmingham City WFC,Arsenal WFC,0,1,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-04-21,West Ham United LFC,Birmingham City WFC,1,2,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-04-28,Birmingham City WFC,Liverpool WFC,2,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-04-20,Reading WFC,Brighton & Hove Albion WFC,1,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-04-28,Brighton & Hove Albion WFC,Arsenal WFC,0,4,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-04-28,Everton LFC,Reading WFC,3,2,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-04-28,Manchester City WFC,Yeovil Town LFC,2,1,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-05-11,West Ham United LFC,Brighton & Hove Albion WFC,0,4,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-05-11,Arsenal WFC,Manchester City WFC,1,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-03-13,Reading WFC,Manchester City WFC,3,4,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-10-21,Arsenal WFC,Reading WFC,6,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-04-17,Everton LFC,Birmingham City WFC,1,3,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-03-24,Liverpool WFC,Arsenal WFC,1,5,A,FA Women's Super League,2018/2019,FA Women's Super League
2018-09-23,Arsenal WFC,West Ham United LFC,4,3,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-04-28,Bristol City WFC,West Ham United LFC,1,2,A,FA Women's Super League,2018/2019,FA Women's Super League
2019-03-24,Bristol City WFC,Everton LFC,1,0,H,FA Women's Super League,2018/2019,FA Women's Super League
2019-02-20,Brighton & Hove Albion WFC,Birmingham City WFC,2,1,H,FA Women's Super League,2018/2019,FA Women's Super League
