Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition,Season,League
2019-06-11,Chile Women's,Sweden Women's,0,2,A,Women's World Cup,2019,Women's World Cup
2019-06-14,Japan Women's,Scotland Women's,2,1,H,Women's World Cup,2019,Women's World Cup
2019-06-15,Netherlands Women's,Cameroon Women's,3,1,H,Women's World Cup,2019,Women's World Cup
2019-06-22,Norway Women's,Australia Women's,1,1,D,Women's World Cup,2019,Women's World Cup
2019-06-09,Australia Women's,Italy Women's,1,2,A,Women's World Cup,2019,Women's World Cup
2019-06-14,Jamaica Women's,Italy Women's,0,5,A,Women's World Cup,2019,Women's World Cup
2019-06-18,Jamaica Women's,Australia Women's,1,4,A,Women's World Cup,2019,Women's World Cup
2019-06-10,Argentina Women's,Japan Women's,0,0,D,Women's World Cup,2019,Women's World Cup
2019-06-12,Nigeria Women's,Korea Republic Women's,2,0,H,Women's World Cup,2019,Women's World Cup
2019-06-13,South Africa Women's,China PR Women's,0,1,A,Women's World Cup,2019,Women's World Cup
2019-06-15,Canada Women's,New Zealand Women's,2,0,H,Women's World Cup,2019,Women's World Cup
2019-06-20,Netherlands Women's,Canada Women's,2,1,H,Women's World Cup,2019,Women's World Cup
2019-06-20,Sweden Women's,United States Women's,0,2,A,Women's World Cup,2019,Women's World Cup
2019-06-24,Sweden Women's,Canada Women's,1,0,H,Women's World Cup,2019,Women's World Cup
2019-06-20,Cameroon Women's,New Zealand Women's,2,1,H,Women's World Cup,2019,Women's World Cup
2019-06-22,Germany Women's,Nigeria Women's,3,0,H,Women's World Cup,2019,Women's World Cup
2019-07-06,England Women's,Sweden Women's,1,2,A,Women's World Cup,2019,Women's World Cup
2019-06-23,France Women's,Brazil Women's,2,1,H,Women's World Cup,2019,Women's World Cup
2019-06-29,Germany Women's,Sweden Women's,1,2,A,Women's World Cup,2019,Women's World Cup
2019-06-09,England Women's,Scotland Women's,2,1,H,Women's World Cup,2019,Women's World Cup
2019-06-16,Sweden Women's,Thailand Women's,5,1,H,Women's World Cup,2019,Women's World Cup
2019-06-19,Japan Women's,England Women's,0,2,A,Women's World Cup,2019,Women's World Cup
2019-06-17,Korea Republic Women's,Norway Women's,1,2,A,Women's World Cup,2019,Women's World Cup
2019-06-16,United States Women's,Chile Women's,3,0,H,Women's World Cup,2019,Women's World Cup
2019-06-08,Norway Women's,Nigeria Women's,3,0,H,Women's World Cup,2019,Women's World Cup
2019-07-07,United States Women's,Netherlands Women's,2,0,H,Women's World Cup,2019,Women's World Cup
2019-06-17,China PR Women's,Spain Women's,0,0,D,Women's World Cup,2019,Women's World Cup
2019-06-18,Italy Women's,Brazil Women's,0,1,A,Women's World Cup,2019,Women's World Cup
2019-06-07,France Women's,Korea Republic Women's,4,0,H,Women's World Cup,2019,Women's World Cup
2019-06-08,Germany Women's,China PR Women's,1,0,H,Women's World Cup,2019,Women's World Cup
2019-06-08,Spain Women's,South Africa Women's,3,1,H,Women's World Cup,2019,Women's World Cup
2019-06-09,Brazil Women's,Jamaica Women's,3,0,H,Women's World Cup,2019,Women's World Cup
2019-06-10,Canada Women's,Cameroon Women's,1,0,H,Women's World Cup,2019,Women's World Cup
2019-06-28,France Women's,United States Women's,1,2,A,Women's World Cup,2019,Women's World Cup
2019-06-11,New Zealand Women's,Netherlands Women's,0,1,A,Women's World Cup,2019,Women's World Cup
2019-06-12,France Women's,Norway Women's,2,1,H,Women's World Cup,2019,Women's World Cup
2019-06-13,Australia Women's,Brazil Women's,3,2,H,Women's World Cup,2019,Women's World Cup
2019-06-14,England Women's,Argentina Women's,1,0,H,Women's World Cup,2019,Women's World Cup
2019-06-17,Nigeria Women's,France Women's,0,1,A,Women's World Cup,2019,Women's World Cup
2019-06-17,South Africa Women's,Germany Women's,0,4,A,Women's World Cup,2019,Women's World Cup
2019-06-19,Scotland Women's,Argentina Women's,3,3,D,Women's World Cup,2019,Women's World Cup
2019-06-20,Thailand Women's,Chile Women's,0,2,A,Women's World Cup,2019,Women's World Cup
2019-06-23,England Women's,Cameroon Women's,3,0,H,Women's World Cup,2019,Women's World Cup
2019-06-25,Italy Women's,China PR Women's,2,0,H,Women's World Cup,2019,Women's World Cup
2019-06-25,Netherlands Women's,Japan Women's,2,1,H,Women's World Cup,2019,Women's World Cup
2019-06-27,Norway Women's,England Women's,0,3,A,Women's World Cup,2019,Women's World Cup
2019-07-02,England Women's,United States Women's,1,2,A,Women's World Cup,2019,Women's World Cup
2019-07-03,Netherlands Women's,Sweden Women's,1,0,H,Women's World Cup,2019,Women's World Cup
2019-06-29,Italy Women's,Netherlands Women's,0,2,A,Women's World Cup,2019,Women's World Cup
2019-06-24,Spain Women's,United States Women's,1,2,A,Women's World Cup,2019,Women's World Cup
