Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition,Season,League
2021-12-19,Mumbai City,Kerala Blasters,0,3,A,Indian Super league,2021/2022,Indian Super league
2021-12-14,Odisha,Jamshedpur,0,4,A,Indian Super league,2021/2022,Indian Super league
2022-01-13,Chennaiyin,Hyderabad,1,1,D,Indian Super league,2021/2022,Indian Super league
2022-01-23,Bengaluru,Goa,1,1,D,Indian Super league,2021/2022,Indian Super league
2022-01-18,NorthEast United,Odisha,0,2,A,Indian Super league,2021/2022,Indian Super league
2022-01-27,Odisha,Hyderabad,2,3,A,Indian Super league,2021/2022,Indian Super league
2022-01-19,Goa,East Bengal,1,2,A,Indian Super league,2021/2022,Indian Super league
2022-01-12,Odisha,Kerala Blasters,0,2,A,Indian Super league,2021/2022,Indian Super league
2022-01-11,Jamshedpur,East Bengal,1,0,H,Indian Super league,2021/2022,Indian Super league
2022-01-10,Mumbai City,Bengaluru,0,3,A,Indian Super league,2021/2022,Indian Super league
2022-02-15,Goa,ATK Mohun Bagan,0,2,A,Indian Super league,2021/2022,Indian Super league
2021-12-27,NorthEast United,Mumbai City,3,3,D,Indian Super league,2021/2022,Indian Super league
2021-12-16,Bengaluru,ATK Mohun Bagan,3,3,D,Indian Super league,2021/2022,Indian Super league
2021-11-22,Mumbai City,Goa,3,0,H,Indian Super league,2021/2022,Indian Super league
2021-12-20,Jamshedpur,Bengaluru,0,0,D,Indian Super league,2021/2022,Indian Super league
2021-12-18,Chennaiyin,Odisha,2,1,H,Indian Super league,2021/2022,Indian Super league
2021-12-11,ATK Mohun Bagan,Chennaiyin,1,1,D,Indian Super league,2021/2022,Indian Super league
2021-12-04,Bengaluru,Mumbai City,1,3,A,Indian Super league,2021/2022,Indian Super league
2021-12-11,Goa,Bengaluru,2,1,H,Indian Super league,2021/2022,Indian Super league
2021-11-30,Odisha,East Bengal,6,4,H,Indian Super league,2021/2022,Indian Super league
2021-12-04,NorthEast United,Goa,2,1,H,Indian Super league,2021/2022,Indian Super league
2021-11-26,Goa,Jamshedpur,1,3,A,Indian Super league,2021/2022,Indian Super league
2021-11-19,ATK Mohun Bagan,Kerala Blasters,4,2,H,Indian Super league,2021/2022,Indian Super league
2021-12-01,ATK Mohun Bagan,Mumbai City,1,5,A,Indian Super league,2021/2022,Indian Super league
2021-12-12,East Bengal,Kerala Blasters,1,1,D,Indian Super league,2021/2022,Indian Super league
2021-11-23,Hyderabad,Chennaiyin,0,1,A,Indian Super league,2021/2022,Indian Super league
2021-12-24,Odisha,Goa,1,1,D,Indian Super league,2021/2022,Indian Super league
2021-12-10,Odisha,NorthEast United,1,0,H,Indian Super league,2021/2022,Indian Super league
2021-12-05,Kerala Blasters,Odisha,2,1,H,Indian Super league,2021/2022,Indian Super league
2021-12-08,Hyderabad,Bengaluru,1,0,H,Indian Super league,2021/2022,Indian Super league
2021-11-21,East Bengal,Jamshedpur,1,1,D,Indian Super league,2021/2022,Indian Super league
2021-11-20,Bengaluru,NorthEast United,4,2,H,Indian Super league,2021/2022,Indian Super league
2021-11-29,NorthEast United,Chennaiyin,1,2,A,Indian Super league,2021/2022,Indian Super league
2022-01-04,Bengaluru,East Bengal,1,1,D,Indian Super league,2021/2022,Indian Super league
2021-11-28,Bengaluru,Kerala Blasters,1,1,D,Indian Super league,2021/2022,Indian Super league
2021-11-27,East Bengal,ATK Mohun Bagan,0,3,A,Indian Super league,2021/2022,Indian Super league
2021-12-13,Hyderabad,NorthEast United,5,1,H,Indian Super league,2021/2022,Indian Super league
2021-11-24,Odisha,Bengaluru,3,1,H,Indian Super league,2021/2022,Indian Super league
2021-12-02,Jamshedpur,Hyderabad,1,1,D,Indian Super league,2021/2022,Indian Super league
2021-12-15,Mumbai City,Chennaiyin,1,0,H,Indian Super league,2021/2022,Indian Super league
2021-12-09,Mumbai City,Jamshedpur,4,2,H,Indian Super league,2021/2022,Indian Super league
2021-12-03,Chennaiyin,East Bengal,0,0,D,Indian Super league,2021/2022,Indian Super league
2021-11-27,Mumbai City,Hyderabad,1,3,A,Indian Super league,2021/2022,Indian Super league
2021-12-17,NorthEast United,East Bengal,2,0,H,Indian Super league,2021/2022,Indian Super league
2022-01-03,Odisha,Mumbai City,4,2,H,Indian Super league,2021/2022,Indian Super league
2021-12-18,Goa,Hyderabad,1,1,D,Indian Super league,2021/2022,Indian Super league
2021-12-06,Jamshedpur,ATK Mohun Bagan,2,1,H,Indian Super league,2021/2022,Indian Super league
2021-12-07,East Bengal,Goa,3,4,A,Indian Super league,2021/2022,Indian Super league
2022-01-07,East Bengal,Mumbai City,0,0,D,Indian Super league,2021/2022,Indian Super league
2022-01-05,ATK Mohun Bagan,Hyderabad,2,2,D,Indian Super league,2021/2022,Indian Super league
