Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-08-15,Stade Rennais FC 1901,Olympique de Marseille,1,0,H,0,0,D,2025-26,LIGUE_1,Matchday 1
2025-08-16,Racing Club de Lens,Olympique Lyonnais,0,1,A,0,1,A,2025-26,LIGUE_1,Matchday 1
2025-08-16,AS Monaco,Le Havre,3,1,H,1,0,H,2025-26,LIGUE_1,Matchday 1
2025-08-16,OGC Nice,Toulouse,0,1,A,0,0,D,2025-26,LIGUE_1,Matchday 1
2025-08-17,Stade Brestois 29,Lille OSC,3,3,D,1,2,A,2025-26,LIGUE_1,Matchday 1
2025-08-17,AJ Auxerre,FC Lorient,1,0,H,0,0,D,2025-26,LIGUE_1,Matchday 1
2025-08-17,FC Metz,RC Strasbourg Alsace,0,1,A,0,0,D,2025-26,LIGUE_1,Matchday 1
2025-08-17,Angers SCO,Paris,1,0,H,1,0,H,2025-26,LIGUE_1,Matchday 1
2025-08-17,FC Nantes,Paris Saint-Germain,0,1,A,0,0,D,2025-26,LIGUE_1,Matchday 1
2025-08-22,Paris Saint-Germain,Angers SCO,1,0,H,0,0,D,2025-26,LIGUE_1,Matchday 2
2025-08-23,Olympique de Marseille,Paris,5,2,H,2,1,H,2025-26,LIGUE_1,Matchday 2
2025-08-23,OGC Nice,AJ Auxerre,3,1,H,2,1,H,2025-26,LIGUE_1,Matchday 2
2025-08-23,Olympique Lyonnais,FC Metz,3,0,H,2,0,H,2025-26,LIGUE_1,Matchday 2
2025-08-24,FC Lorient,Stade Rennais FC 1901,4,0,H,1,0,H,2025-26,LIGUE_1,Matchday 2
2025-08-24,Le Havre,Racing Club de Lens,1,2,A,1,2,A,2025-26,LIGUE_1,Matchday 2
2025-08-24,Toulouse,Stade Brestois 29,2,0,H,0,0,D,2025-26,LIGUE_1,Matchday 2
2025-08-24,RC Strasbourg Alsace,FC Nantes,1,0,H,0,0,D,2025-26,LIGUE_1,Matchday 2
2025-08-24,Lille OSC,AS Monaco,1,0,H,0,0,D,2025-26,LIGUE_1,Matchday 2
2025-08-29,Racing Club de Lens,Stade Brestois 29,3,1,H,0,1,A,2025-26,LIGUE_1,Matchday 3
2025-08-30,FC Lorient,Lille OSC,1,7,A,0,0,D,2025-26,LIGUE_1,Matchday 3
2025-08-30,FC Nantes,AJ Auxerre,1,0,H,1,0,H,2025-26,LIGUE_1,Matchday 3
2025-08-30,Toulouse,Paris Saint-Germain,3,6,A,1,4,A,2025-26,LIGUE_1,Matchday 3
2025-08-31,Angers SCO,Stade Rennais FC 1901,1,1,D,0,1,A,2025-26,LIGUE_1,Matchday 3
2025-08-31,Le Havre,OGC Nice,3,1,H,1,0,H,2025-26,LIGUE_1,Matchday 3
2025-08-31,AS Monaco,RC Strasbourg Alsace,3,2,H,1,0,H,2025-26,LIGUE_1,Matchday 3
2025-08-31,Paris,FC Metz,3,2,H,1,1,D,2025-26,LIGUE_1,Matchday 3
2025-08-31,Olympique Lyonnais,Olympique de Marseille,1,0,H,0,0,D,2025-26,LIGUE_1,Matchday 3
2025-09-12,Olympique de Marseille,FC Lorient,4,0,H,3,0,H,2025-26,LIGUE_1,Matchday 4
2025-09-13,OGC Nice,FC Nantes,1,0,H,0,0,D,2025-26,LIGUE_1,Matchday 4
2025-09-13,AJ Auxerre,AS Monaco,1,2,A,0,1,A,2025-26,LIGUE_1,Matchday 4
2025-09-14,Lille OSC,Toulouse,2,1,H,0,0,D,2025-26,LIGUE_1,Matchday 4
2025-09-14,FC Metz,Angers SCO,1,1,D,1,0,H,2025-26,LIGUE_1,Matchday 4
2025-09-14,Paris Saint-Germain,Racing Club de Lens,2,0,H,1,0,H,2025-26,LIGUE_1,Matchday 4
2025-09-14,RC Strasbourg Alsace,Le Havre,1,0,H,0,0,D,2025-26,LIGUE_1,Matchday 4
2025-09-14,Stade Brestois 29,Paris,1,2,A,0,2,A,2025-26,LIGUE_1,Matchday 4
2025-09-14,Stade Rennais FC 1901,Olympique Lyonnais,3,1,H,0,1,A,2025-26,LIGUE_1,Matchday 4
2025-09-19,Olympique Lyonnais,Angers SCO,1,0,H,0,0,D,2025-26,LIGUE_1,Matchday 5
2025-09-20,FC Nantes,Stade Rennais FC 1901,2,2,D,0,2,A,2025-26,LIGUE_1,Matchday 5
2025-09-20,Stade Brestois 29,OGC Nice,4,1,H,2,1,H,2025-26,LIGUE_1,Matchday 5
2025-09-20,Racing Club de Lens,Lille OSC,3,0,H,2,0,H,2025-26,LIGUE_1,Matchday 5
2025-09-21,Paris,RC Strasbourg Alsace,2,3,A,0,1,A,2025-26,LIGUE_1,Matchday 5
2025-09-21,Le Havre,FC Lorient,1,1,D,0,1,A,2025-26,LIGUE_1,Matchday 5
2025-09-21,AJ Auxerre,Toulouse,1,0,H,1,0,H,2025-26,LIGUE_1,Matchday 5
2025-09-21,AS Monaco,FC Metz,5,2,H,1,1,D,2025-26,LIGUE_1,Matchday 5
2025-09-22,Olympique de Marseille,Paris Saint-Germain,1,0,H,1,0,H,2025-26,LIGUE_1,Matchday 5
2025-09-26,RC Strasbourg Alsace,Olympique de Marseille,1,2,A,0,0,D,2025-26,LIGUE_1,Matchday 6
2025-09-27,FC Lorient,AS Monaco,3,1,H,1,0,H,2025-26,LIGUE_1,Matchday 6
2025-09-27,Toulouse,FC Nantes,2,2,D,0,1,A,2025-26,LIGUE_1,Matchday 6
2025-09-27,Paris Saint-Germain,AJ Auxerre,2,0,H,1,0,H,2025-26,LIGUE_1,Matchday 6
2025-09-28,OGC Nice,Paris,1,1,D,1,0,H,2025-26,LIGUE_1,Matchday 6
2025-09-28,FC Metz,Le Havre,0,0,D,0,0,D,2025-26,LIGUE_1,Matchday 6
2025-09-28,Lille OSC,Olympique Lyonnais,0,1,A,0,1,A,2025-26,LIGUE_1,Matchday 6
2025-09-28,Angers SCO,Stade Brestois 29,0,2,A,0,2,A,2025-26,LIGUE_1,Matchday 6
2025-09-28,Stade Rennais FC 1901,Racing Club de Lens,0,0,D,0,0,D,2025-26,LIGUE_1,Matchday 6
2025-10-03,Paris,FC Lorient,2,0,H,2,0,H,2025-26,LIGUE_1,Matchday 7
2025-10-04,FC Metz,Olympique de Marseille,0,3,A,0,0,D,2025-26,LIGUE_1,Matchday 7
2025-10-04,Stade Brestois 29,FC Nantes,0,0,D,0,0,D,2025-26,LIGUE_1,Matchday 7
2025-10-04,AJ Auxerre,Racing Club de Lens,1,2,A,0,1,A,2025-26,LIGUE_1,Matchday 7
