Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,League,Round
2025-04-25,Feyenoord Rotterdam,PEC Zwolle,4,0,H,3,0,H,2024-25,EREDIVISIE,Matchday 30
2025-04-27,Fortuna Sittard,Willem II Tilburg,1,0,H,0,0,D,2024-25,EREDIVISIE,Matchday 30
2025-04-27,AFC Ajax,Sparta Rotterdam,1,1,D,0,0,D,2024-25,EREDIVISIE,Matchday 30
2025-04-27,SC Heerenveen,NEC,1,0,H,0,0,D,2024-25,EREDIVISIE,Matchday 30
2025-04-27,Almere City,Go Ahead Eagles,0,0,D,0,0,D,2024-25,EREDIVISIE,Matchday 30
2025-05-03,NEC,Willem II Tilburg,1,1,D,0,1,A,2024-25,EREDIVISIE,Matchday 31
2025-05-03,Heracles Almelo,Feyenoord Rotterdam,1,4,A,0,3,A,2024-25,EREDIVISIE,Matchday 31
2025-05-03,FC Groningen,RKC Waalwijk,6,1,H,2,0,H,2024-25,EREDIVISIE,Matchday 31
2025-05-03,PSV,Fortuna Sittard,4,1,H,2,0,H,2024-25,EREDIVISIE,Matchday 31
2025-05-04,NAC Breda,PEC Zwolle,1,3,A,0,0,D,2024-25,EREDIVISIE,Matchday 31
2025-05-04,Go Ahead Eagles,AZ,0,3,A,0,2,A,2024-25,EREDIVISIE,Matchday 31
2025-05-04,Sparta Rotterdam,FC Twente '65,0,2,A,0,2,A,2024-25,EREDIVISIE,Matchday 31
2025-05-09,Willem II Tilburg,Heracles Almelo,1,2,A,0,1,A,2024-25,EREDIVISIE,Matchday 32
2025-05-10,RKC Waalwijk,SC Heerenveen,3,1,H,1,1,D,2024-25,EREDIVISIE,Matchday 32
2025-05-10,Fortuna Sittard,NAC Breda,1,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 32
2025-05-10,Almere City,Sparta Rotterdam,0,3,A,0,0,D,2024-25,EREDIVISIE,Matchday 32
2025-05-11,PEC Zwolle,Go Ahead Eagles,1,1,D,0,0,D,2024-25,EREDIVISIE,Matchday 32
2025-05-11,Feyenoord Rotterdam,PSV,2,3,A,2,0,H,2024-25,EREDIVISIE,Matchday 32
2025-05-11,FC Twente '65,FC Utrecht,2,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 32
2025-05-11,AFC Ajax,NEC,0,3,A,0,0,D,2024-25,EREDIVISIE,Matchday 32
2025-05-11,AZ,FC Groningen,3,0,H,2,0,H,2024-25,EREDIVISIE,Matchday 32
2025-05-14,Almere City,Fortuna Sittard,1,1,D,1,0,H,2024-25,EREDIVISIE,Matchday 33
2025-05-14,FC Groningen,AFC Ajax,2,2,D,0,1,A,2024-25,EREDIVISIE,Matchday 33
2025-05-14,FC Utrecht,Sparta Rotterdam,1,1,D,1,1,D,2024-25,EREDIVISIE,Matchday 33
2025-05-14,Feyenoord Rotterdam,RKC Waalwijk,2,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 33
2025-05-14,Go Ahead Eagles,SC Heerenveen,1,0,H,0,0,D,2024-25,EREDIVISIE,Matchday 33
2025-05-14,NEC,NAC Breda,3,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 33
2025-05-14,PSV,Heracles Almelo,4,1,H,4,0,H,2024-25,EREDIVISIE,Matchday 33
2025-05-14,FC Twente '65,AZ,2,3,A,2,2,D,2024-25,EREDIVISIE,Matchday 33
2025-05-14,Willem II Tilburg,PEC Zwolle,1,2,A,0,1,A,2024-25,EREDIVISIE,Matchday 33
2025-05-18,AFC Ajax,FC Twente '65,2,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 34
2025-05-18,AZ,Almere City,1,1,D,0,1,A,2024-25,EREDIVISIE,Matchday 34
2025-05-18,Fortuna Sittard,FC Utrecht,0,0,D,0,0,D,2024-25,EREDIVISIE,Matchday 34
2025-05-18,Heracles Almelo,NEC,1,2,A,0,0,D,2024-25,EREDIVISIE,Matchday 34
2025-05-18,NAC Breda,Willem II Tilburg,1,1,D,1,1,D,2024-25,EREDIVISIE,Matchday 34
2025-05-18,PEC Zwolle,FC Groningen,2,0,H,1,0,H,2024-25,EREDIVISIE,Matchday 34
2025-05-18,RKC Waalwijk,Go Ahead Eagles,5,3,H,1,1,D,2024-25,EREDIVISIE,Matchday 34
2025-05-18,SC Heerenveen,Feyenoord Rotterdam,2,0,H,2,0,H,2024-25,EREDIVISIE,Matchday 34
2025-05-18,Sparta Rotterdam,PSV,1,3,A,0,1,A,2024-25,EREDIVISIE,Matchday 34
